Industry,Category,Date Published,Description,Bedrooms/Baths,Price,Size,State,Location,Housing Type,Telephone,Contact Person,Email
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200033,,New York,(Upper East Side),Apartment,(555) 776-4088,Emmy,Emmy@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200034,,New York,(Upper East Side),Apartment,(555) 776-4089,Giada,Giada@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200035,,New York,(Upper East Side),Apartment,(555) 776-4090,Tegan,Tegan@gmail.com
Real Estate,Properties for rent,31-Jul,Lovely 2 bedroom,2BR / 1Ba,200036,,New York,(Upper East Side),Apartment,(555) 776-4091,Charleigh,Charleigh@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200037,,New York,(Upper East Side),Apartment,(555) 776-4092,Haleigh,Haleigh@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200038,,New York,(Upper East Side),Apartment,(555) 776-4093,Nathaly,Nathaly@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200039,,New York,(Upper East Side),Apartment,(555) 776-4094,Susan,Susan@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200040,,New York,(Upper East Side),Apartment,(555) 776-4095,Kendal,Kendal@gmail.com
Real Estate,Properties for rent,31-Jul,Fantastic 2 bedroom in Yorkville area.,2BR / 1Ba,200041,,New York,(Upper East Side),Apartment,(555) 776-4096,Leia,Leia@gmail.com
Real Estate,Properties for rent,31-Jul,Lovely 2 bedroom,2BR / 1Ba,200042,,New York,(Upper East Side),Apartment,(555) 776-4097,Jordynn,Jordynn@gmail.com
Real Estate,Properties for rent,31-Jul,1 Bedroom with double bed 1 Bath,,200043,,New York,(Greenwich Village),,(555) 776-4098,Amirah,Amirah@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200044,,New York,(Upper East Side),Apartment,(555) 776-4099,Giovanna,Giovanna@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200045,,New York,(Upper East Side),Apartment,(555) 776-4100,Mira,Mira@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200046,,New York,(Upper East Side),Apartment,(555) 776-4101,Addilyn,Addilyn@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200047,,New York,(Upper East Side),Apartment,(555) 776-4102,Frances,Frances@gmail.com
Real Estate,Properties for rent,31-Jul,Fantastic 2 bedroom in Yorkville area.,2BR / 1Ba,200048,,New York,(Upper East Side),Apartment,(555) 776-4103,Kaitlin,Kaitlin@gmail.com
Real Estate,Sell,31-Jul,"Open House, 19 Bouton St East, Stamford, Sat & Sun, 8/4 & 8/5: 2-4pm",4BR / 3.5Ba,200049,2652,New York,(Stamford/Springdale Area),,(555) 776-4104,Kyndall,Kyndall@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200050,,New York,(Upper East Side),Apartment,(555) 776-4105,Myra,Myra@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200051,,New York,(Upper East Side),Apartment,(555) 776-4106,Abbie,Abbie@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200052,,New York,(Upper East Side),Apartment,(555) 776-4107,Samiyah,Samiyah@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200053,,New York,(Upper East Side),Apartment,(555) 776-4108,Taraji,Taraji@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200054,,New York,(Upper East Side),Apartment,(555) 776-4109,Braylee,Braylee@gmail.com
Real Estate,Properties for rent,31-Jul,Lovely 2 bedroom,2BR / 1Ba,200055,,New York,(Upper East Side),Apartment,(555) 776-4110,Corinne,Corinne@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200056,,New York,(Upper East Side),Apartment,(789)654-6558,Colten,Colten@gmail.com
Real Estate,Properties for rent,31-Jul,6 FAMILY ACCEPTING OFFERS,,200057,,New York,(Bushwick),Apartment,(789)654-6559,Emerson,Emerson@gmail.com
Real Estate,Properties for rent,31-Jul,Large 40x100 1 family house fully renovated large bedrooms,4BR / 3Ba,200058,,New York,(LAURELTON),House,(789)654-6560,Phoenix,Phoenix@gmail.com
Real Estate,Properties for rent,31-Jul,3 bedroom + back yard in Greenpoint for 3750,3BR / 1Ba,200059,1000,New York,"(Greenpoint, Williamsburg, Brooklyn)",Apartment,(789)654-6561,King,King@gmail.com
Real Estate,Sell,31-Jul,4br - One Family recently Renovated,4BR / 2Ba,200060,,New York,(West Islip),House,(789)654-6562,Izaiah,Izaiah@gmail.com
Real Estate,Sell,31-Jul,2 FAMILY BRICK GREAT INVESTMENT,6BR / 2Ba,200061,,New York,(East New York),Apartment,(789)654-6563,Karter,Karter@gmail.com
Real Estate,Sell,31-Jul,One family*** Renovated***Stone/Brick** Oakland Gardens**Flushing,3BR / 1.5Ba,200062,2088,New York,(Bay-side),House,(789)654-6564,Albert,Albert@gmail.com
Real Estate,Properties for rent,31-Jul,HUGE APARTMENT IN 2 FAM NEXT TO ALL 3 BDRM 2 BATH,3BR / 2Ba,200063,1200,New York,(LONG BEACH),Apartment,(789)654-6565,Jerry,Jerry@gmail.com
Real Estate,Sell,31-Jul,One Family Stone/Brick RENOVATED Bayside / Flushing,3BR / 1.5Ba,200064,2088,New York,(Okland Gardens),House,(789)654-6566,Tate,Tate@gmail.com
Real Estate,Properties for rent,31-Jul,Lovely 2 bedroom,2BR / 1Ba,200065,,New York,(Upper East Side),Apartment,(789)654-6567,Larry,Larry@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200066,,New York,(Upper East Side),Apartment,(789)654-6568,Saul,Saul@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200067,,New York,(Upper East Side),Apartment,(789)654-6569,Payton,Payton@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200068,,New York,(Upper East Side),Apartment,(789)654-6570,August,August@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200069,,New York,(Upper East Side),Apartment,(789)654-6571,Jalen,Jalen@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200070,,New York,(Upper East Side),Apartment,(789)654-6572,Enzo,Enzo@gmail.com
Real Estate,Properties for rent,31-Jul,Brick and frame large bedrooms 1 family house high ceilings and wide d,,200071,,New York,(CAMBRIA HGTS),,(789)654-6573,Jay,Jay@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200072,,New York,(Upper East Side),Apartment,(789)654-6574,Rocco,Rocco@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous studio on the upper east side in yorkville,,200073,,New York,(Upper East Side),Apartment,(789)654-6575,Kolton,Kolton@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom apartment availability immediately,2BR / 1Ba,200074,,New York,(Upper East Side),Apartment,(789)654-6576,Russell,Russell@gmail.com
Real Estate,Properties for rent,31-Jul,Studio available. Convenient location,,200075,,New York,(Upper East Side),Apartment,(789)654-6577,Leon,Leon@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom in yorkville on the upper East Side,2BR / 1Ba,200076,,New York,(Upper East Side),Apartment,(789)654-6578,Philip,Philip@gmail.com
Real Estate,Properties for rent,31-Jul,Studio available for immediate occupancy,,200077,,New York,(Upper East Side),Apartment,(789)654-6579,Gael,Gael@gmail.com
Real Estate,Properties for rent,31-Jul,Fantastic studio for immediate occupancy,,200078,,New York,(Upper East Side),Apartment,(789)654-6580,Quentin,Quentin@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200079,,New York,(Upper East Side),Apartment,(789)654-6581,Tony,Tony@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200080,,New York,(Upper East Side),Apartment,(789)654-6582,Mathew,Mathew@gmail.com
Real Estate,Properties for rent,31-Jul,Beautiful 3 Bedroom Apartment in PRIME Sunset Park,3BR / 1Ba,200081,1400,New York,(Sunset Park),Apartment,(789)654-6583,Kade,Kade@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200082,,New York,(Upper East Side),Apartment,(789)654-6584,Johnny,Johnny@gmail.com
Real Estate,Properties for rent,31-Jul,Fantastic 2 bedroom in Yorkville area.,2BR / 1Ba,200083,,New York,(Upper East Side),Apartment,(789)654-6585,Kayson,Kayson@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom apartment in beautiful Yorkville,2BR / 1Ba,200084,,New York,(Upper East Side),Apartment,(789)654-6586,Cruz,Cruz@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200085,,New York,(Upper East Side),Apartment,(789)654-6587,Hendrix,Hendrix@gmail.com
Real Estate,Properties for rent,31-Jul,Beautiful 2 bedroom / 1.5 bathroom Townhouse- Liberty Street,2BR / 1.5Ba,200086,1300,New York,(Stamford),Apartment,(789)654-6588,Atticus,Atticus@gmail.com
Real Estate,Properties for rent,31-Jul,Three bedroom apartment w/ AMAZING PRIVATE ROOF DECK,3BR / 1Ba,200087,1000,New York,"(Greenpoint, Williamsburg, Brooklyn)",Apartment,(789)654-6589,Troy,Troy@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good viewAnd amazing price great for roommates,,200088,,New York,(Upper East Side),Apartment,(789)654-6590,Kane,Kane@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom : Great for roommates /Amazing deal,2BR / 1Ba,200089,,New York,(Upper East Side),Apartment,(789)654-6591,Edgar,Edgar@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom 94 street near the subway amazing price,2BR / 1Ba,200090,,New York,(Upper East Side),Apartment,(789)654-6592,Sergio,Sergio@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200091,,New York,(Upper East Side),Apartment,(789)654-6593,Kash,Kash@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good viewAmazing Deal great roommates,,200092,,New York,(Upper East Side),Apartment,(789)654-6594,Marshall,Marshall@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200093,,New York,(Upper East Side),Apartment,(789)654-6595,Johnathan,Johnathan@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200094,,New York,(Upper East Side),Apartment,(789)654-6596,Romeo,Romeo@gmail.com
Real Estate,Properties for rent,31-Jul,ATT! BUSINESS OWNERS - COMMERCIAL HUGE HOME,4BR / 3.5Ba,200095,2600,New York,(Mariners Harbor),Apartment,(789)654-6597,Shane,Shane@gmail.com
Real Estate,Properties for rent,31-Jul,"FLORIDA, FT LAUDERDALE minutes from the Beach close to shoppes restaur",2BR / 2Ba,200096,1100,New York,(Imperial Point),Apartment,(789)654-6598,Warren,Warren@gmail.com
Real Estate,Properties for rent,31-Jul,HUGE TWNHS - SUPER CLEAN ++,2BR / 2.5Ba,200097,1870,New York,(ROSSVILLE),Townhouse,(789)654-6599,Joaquin,Joaquin@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200098,,New York,(Upper East Side),Apartment,(789)654-6600,Wade,Wade@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200099,,New York,(Upper East Side),Apartment,(789)654-6601,Leonel,Leonel@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200100,,New York,(Upper East Side),Apartment,(789)654-6602,Trevor,Trevor@gmail.com
Real Estate,Properties for rent,31-Jul,Private Lender-Aggressive Terms,,200101,,New York,(Staten Island),,(789)654-6603,Dominick,Dominick@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,2BR / 2Ba,200102,,New York,(Upper East Side),Apartment,(789)654-6604,Muhammad,Muhammad@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,2BR / 2Ba,200103,,New York,(Upper East Side),Apartment,(789)654-6605,Erik,Erik@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,2BR / 2Ba,200104,,New York,(Upper East Side),Apartment,(789)654-6606,Odin,Odin@gmail.com
Real Estate,Properties for rent,31-Jul,Prime Soho *Prince Street* Exposed bricks * Washer/Dryer,1BR / 1Ba,200105,,New York,(SoHo),Apartment,(789)654-6607,Quinn,Quinn@gmail.com
Real Estate,Properties for rent,31-Jul,Prime Soho *Prince Street* Exposed bricks * Washer/Dryer,1BR / 1Ba,200106,,New York,(SoHo),Apartment,(789)654-6608,Jaxton,Jaxton@gmail.com
Real Estate,Properties for rent,31-Jul,Glorious 2 bedroom available immediately,,200107,,New York,(Upper East Side),Apartment,(789)654-6609,Dalton,Dalton@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200108,,New York,(Upper East Side),Apartment,(789)654-6610,Nehemiah,Nehemiah@gmail.com
Real Estate,Sell,31-Jul,2 FAMILY BRICK GREAT INVESTMENT,6BR / 2Ba,200109,,New York,(East New York),Apartment,(789)654-6611,Frank,Frank@gmail.com
Real Estate,Properties for rent,31-Jul,Prime Soho *Prince Street* Exposed bricks * Washer/Dryer,1BR / 1Ba,200110,,New York,(SoHo),Apartment,(789)654-6612,Grady,Grady@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200111,,New York,(Upper East Side),Apartment,(789)654-6613,Gregory,Gregory@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200112,,New York,(Upper East Side),Apartment,(789)654-6614,Andy,Andy@gmail.com
Real Estate,Properties for rent,31-Jul,GORGEOUS Studio Co-Op Rental in Bay Ridge,0BR / 1Ba,200113,490,New York,(Bay Ridge),Apartment,(789)654-6615,Solomon,Solomon@gmail.com
Real Estate,Properties for rent,31-Jul,Prime Soho *Prince Street* Exposed bricks * Washer/Dryer,1BR / 1Ba,200114,,New York,(SoHo),Apartment,(789)654-6616,Malik,Malik@gmail.com
Real Estate,Properties for rent,31-Jul,Glorious 2 bedroom available immediately,,200115,,New York,(Upper East Side),Apartment,(789)654-6617,Rory,Rory@gmail.com
Real Estate,Sell,31-Jul,One Family Stone/Brick Oakland Gardens RENOVATED O.H SUN.12 -4,3BR / 1.5Ba,200116,2088,New York,(Bay-side),House,(789)654-6618,Clark,Clark@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200117,,New York,(Upper East Side),Apartment,(789)654-6619,Reed,Reed@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200118,,New York,(Upper East Side),Apartment,(789)654-6620,Harvey,Harvey@gmail.com
Real Estate,Properties for rent,31-Jul,Beautiful 3 Bedroom Apartment in PRIME Sunset Park,3BR / 1Ba,200119,1400,New York,(Sunset Park),Apartment,(789)654-6621,Zayne,Zayne@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200120,,New York,(Upper East Side),Apartment,(789)654-6622,Jay,Jay@gmail.com
Real Estate,Properties for rent,31-Jul,LARGE * with Maid Service * Valet Parking * Gym * Nursery * 24/7 Doorm,2BR / 2Ba,200121,,New York,(Upper East Side),Apartment,(789)654-6623,Jared,Jared@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200122,,New York,(Upper East Side),Apartment,(789)654-6624,Noel,Noel@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,200123,,New York,(Upper East Side),Apartment,(789)654-6625,Shawn,Shawn@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200124,,New York,(Upper East Side),Apartment,(789)654-6626,Fabian,Fabian@gmail.com
Real Estate,Sell,31-Jul,4br - One Family recently Renovated,4BR / 2Ba,200125,,New York,(West Islip),House,(789)654-6627,Ibrahim,Ibrahim@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200126,,New York,(Upper East Side),Apartment,(789)654-6628,Adonis,Adonis@gmail.com
Real Estate,Properties for rent,31-Jul,Nice Studio Apartment for Rent By Owner,0BR / 1Ba,200127,,New York,(Midtown West),Apartment,(789)654-6629,Ismael,Ismael@gmail.com
Real Estate,Sell,31-Jul,Bayside Stone/Brick RENOVATED,3BR / 1.5Ba,200128,2088,New York,(Okland Gardens),House,(789)654-6630,Pedro,Pedro@gmail.com
Real Estate,Properties for rent,31-Jul,2 bedroom with a good view,,200129,,New York,(Upper East Side),Apartment,(789)654-6631,Leland,Leland@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200130,,New York,(Upper East Side),Apartment,(789)654-6632,Malakai,Malakai@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200131,,New York,(Upper East Side),Apartment,(789)654-6633,Malcolm,Malcolm@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,200132,,New York,(Upper East Side),Apartment,(789)654-6634,Alexis,Alexis@gmail.com
Real Estate,Properties for rent,31-Jul,LARGE * Free month* Valet Parking * Gym * Nursery * 24/7 Doorm,2BR / 2Ba,200133,,New York,(Upper East Side),Apartment,(789)654-6635,Kason,Kason@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,2700,,New York,(Upper East Side),Apartment,(789)654-6636,Porter,Porter@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,2700,,New York,(Upper East Side),Apartment,(789)654-6637,Sullivan,Sullivan@gmail.com
Real Estate,Sell,31-Jul,Bayside Stone/Brick RENOVATED,3BR / 1.5Ba,898000,2088,New York,(Okland Gardens),House,(789)654-6638,Raiden,Raiden@gmail.com
Real Estate,Properties for rent,31-Jul,Fantastic 2 bedroom in Yorkville area.,2BR / 1Ba,2700,,New York,(Upper East Side),Apartment,(789)654-6639,Allen,Allen@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,2700,,New York,(Upper East Side),Apartment,(789)654-6640,Ari,Ari@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,2700,,New York,(Upper East Side),Apartment,(789)654-6641,Russell,Russell@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,2700,,New York,(Upper East Side),Apartment,(789)654-6642,Princeton,Princeton@gmail.com
Real Estate,Properties for rent,31-Jul,Lovely 2 bedroom,2BR / 1Ba,2700,,New York,(Upper East Side),Apartment,(789)654-6643,Winston,Winston@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,2700,,New York,(Upper East Side),Apartment,(789)654-6644,Kendrick,Kendrick@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom in Yorkville area,2BR / 1Ba,2700,,New York,(Upper East Side),Apartment,(789)654-6645,Roberto,Roberto@gmail.com
Real Estate,Properties for rent,31-Jul,Lovely 2 bedroom,2BR / 1Ba,2700,,New York,(Upper East Side),Apartment,(789)654-6646,Lennox,Lennox@gmail.com
Real Estate,Properties for rent,31-Jul,Prime Soho *Prince Street* Exposed bricks * Washer/Dryer,1BR / 1Ba,3295,,New York,(SoHo),Apartment,(789)654-6647,Hayes,Hayes@gmail.com
Real Estate,Properties for rent,31-Jul,Gorgeous two bedroom for immediate availability,,2700,,New York,(Upper East Side),Apartment,(789)654-6648,Finnegan,Finnegan@gmail.com
Real Estate,Properties for rent,31-Jul,Lovely 2 bedroom,,2700,,New York,(Upper East Side),Apartment,(789)654-6649,Nasir,Nasir@gmail.com
Real Estate,Properties for rent,31-Jul,Fantastic 2 bedroom in Yorkville area.,2BR / 1Ba,2700,,New York,(Upper East Side),Apartment,(789)654-6650,Kade,Kade@gmail.com
Real Estate,Properties for rent,31-Jul,Fabulous two bedroom with access to roof top,2BR / 1Ba,,,New York,(Upper East Side),Apartment,(789)654-6651,Nico,Nico@gmail.com
Real Estate,Sell,31-Jul,One Family RENOVATED (Bay-side) ******Flushing*****Okland Gardens,3BR / 1.5Ba,929000,2088,New York,(Okland Gardens),House,(789)654-6652,Emanuel,Emanuel@gmail.com
Real Estate,Sell,31-Jul,☀️ RIVERSIDE DRIVE / 140'S CONDO * 3 BEDROOM * VIEWS OF THE PARK !,3BR / 1Ba,469000,,New York,(Harlem / Morningside),Apartment,(789)654-6653,Landen,Landen@gmail.com
Real Estate,Properties for rent,31-Jul,Nice Studio Apartment for Rent By Owner,0BR / 1Ba,2295,,New York,(Midtown West),Apartment,(789)654-6654,Moises,Moises@gmail.com
